,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,,,,,,,,,
,Merk,:,-,,,,,,,,,,,
,Type,:,-,,,,,,,,,,,
,No. Seri,:,,,,,,,,,,,,
,Kelas,:,F1,,,,,,,,,,,
,Range,:,2,kg,,,,,,,,,,
,Interval Kalibrasi,:,2,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,Massa Konvensional ,,,,,,,,,,,
,,,Massa Nominal (g),Massa Konvensional Tahun Kalibrasi (g),,,,,,Drift Calculation :,,,,
,,,,2026,2028,2030,2032,2034,2036,"u(δmD) = 0,5 (Mc max - Mc min) / sqrt(3)",,,,
,,,,BBLM,,,,,,"Mc max
g","Mc min
g","u(δmD)
g","u(δmD)
g",
,,,,2026-01-19T00:00:00,,,,,,,,,,
,,,2000,2000.015,,,,,,2000.015,2000.015,0,0,
,,,,,,,,,,,,Max. U drift,0,
,,,,,,,,,,,,,,
,,2,Koreksi,,,,,,,,,,,
,,,Massa Nominal (g),Koreksi Tahun Kalibrasi (g),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,BBLM,0,0,0,0,0,,,,,
,,,2000,0.015000000000100044,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,3,Uncertainty,,,,,,,,,,,
,,,Massa Nominal (mg),Uncertainty Tahun Kalibrasi (mg),,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,
,,,,BBLM,0,0,0,0,0,,,,,
,,,2000,16,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
